sr,clientName,gstin,clientType,senior,multiRegistration,member,turnover,papilioId,gstr9Status,gstr9cStatus,proposalStatus,targetDate,gstr9Arn,gstr9Date,gstr9cArn,gstr9cDate,mailSent,papilioUpdate,remarks
72,iD Fresh Foods - Telangana,36AAICM3930G1ZI,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
73,iD Fresh Foods - Kerala,32AAICM3930G1ZQ,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
74,iD Fresh Foods - Andhra Pradesh,37AAICM3930G2ZF,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
75,iD Fresh Foods - Delhi,07AAICM3930G1ZJ,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
76,iD Fresh Foods - West Bengal,19AAICM3930G1ZE,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
77,iD Fresh Foods - Goa,30AAICM3930G1ZU,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
78,iD Fresh Foods - Haryana,06AAICM3930G1ZL,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
79,iD Fresh Foods - Uttar Pradesh,09AAICM3930G1ZF,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
80,iD Fresh Foods - Rajasthan,08AAICM3930G1ZH,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
81,iD Fresh Foods - Gujarat,24AAICM3930G1ZN,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
82,iD Fresh Foods - Punjab,03AAICM3930G1ZR,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
83,KAIDFRESHISD,29AAICM3930G2ZC,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
84,PRAVEENKUMAR CHANDRASHEKAR,29AGDPC7254R1ZT,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
85,Dilipkumar Karodimal Khandelwal ,29AFRPK9118H1ZV,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
86,ODT India Center of Excellence Private Limited,29AACCO9568Q1ZA,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
87,ODT India Center of Excellence Private Limited,36AACCO9568Q1ZF,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
88,ARMORCODE INDIA PRIVATE LIMITED,29AAUCA4099C1Z7,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
89,ARMORCODE INDIA PRIVATE LIMITED - Haryana,,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
90,MOVEWORKS PRIVATE LIMITED,29AANCM9214E1Z7,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
91,L29 Expansion Solutions Pvt Ltd,29AAECL5421F1ZM,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
92,Perfios - Karnataka,29AAECP7093F1Z2,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
93,Perfios - Mumbai,27AAECP7093F1Z6,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
94,Perfios - NBFC-Perfios AA,29AAJCP4853C1Z9,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
95,Perfios - Delhi,07AAECP7093F1Z8,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
96,Perfios - Noida,09AAECP7093F1Z4,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
97,Satys Electric India Pvt Ltd,29ABHCS7138L1ZN,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
98,AR GRANDEYE INDIA PRIVATE LIMITED,07AANCA0855B1ZY,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
99,Augnito India Private Limited,27AAWCA5581B1ZE,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
100,Augnito India Private Limited - KA,29AAWCA5581B1ZA,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
101,Pixxelspace India Private Limited,29ABBCS8129H1Z1,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
102,Spacepixxel Technologies Private Limited,29AAGCN0983J1Z0,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
103,Cyllid Technologis Pvt Ltd - Karnataka,29AAGCC6749K1Z1,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
104,Cyllid Technologis Pvt Ltd - Haryana,06AAGCC6749K1Z9,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
105,Bold Finance Technologies Pvt Ltd - Maharashtra,27AAKCB1832C1Z1,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
106,Bold Finance Technologies Pvt Ltd - Rajasthan,08AAKCB1832C1Z1,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
107,Karza Technologies Private Limited,27AAFCK8380D1ZE,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
108,Scribetech India Healthcare Private Limited - Karnataka,29AABCE2191E1ZT,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
